Bloch, Mattieu R., PhD in Electrical Engineering – Georgia Institute of Technology, Assistant Professor, School of Electrical and Computer Engineering
Blough, Douglas M., PhD in Computer and Information Science – Johns Hopkins University, Professor, School of Electrical and Computer Engineering
Bommarius, Andreas S., PhD in Chemical Engineering – Massachusetts Institute of Technology, Professor, School of Chemical and Biomolecular Engineering
Book, Wayne J., PhD in Mechanical Engineering – Massachusetts Institute of Technology, Professor, Woodruff School of Mechanical Engineering
Bost, Lewis Franklin, MBA – University of North Carolina, Professor of Practice, Coulter Department of Biomedical Engineering (Tech/Emory)
Boyan, Barbara D., PhD Biochemistry and Physiology – Rice University, Associate Dean, College of Engineering (Tech/Emory)
Brand, Oliver, PhD in Natural Science – University of Zurich, Professor, School of Electrical and Computer Engineering
Bras, Berdinus A., PhD in Operations Research – University of Houston, Professor, Woodruff School of Mechanical Engineering
Bras, Rafael L., PhD in Water Resources Engineering – Massachusetts Institute of Technology, Provost and Executive Vice President for Academic Affairs
Braun, Robert David, PhD in Aerospace Engineering – Stanford University, Professor, Guggenheim School of Aerospace Engineering
Breedveld, Laurens Victor Adriaan, PhD in Physics – Twente University, Associate Professor, School of Chemical and Biomolecular Engineering
Brilakis, Ioannis, PhD in Civil Engineering – University of Illinois–Urbana Champaign, Assistant Professor, School of Building Construction
Buck, John A., PhD in Electrical Engineering – University of California–Berkeley, Professor, School of Electrical and Computer Engineering
Bucknall, David G., PhD in Polymer Chemistry – University of Nottingham, Professor, School of Materials Science and Engineering
Burkholder, Thomas J., PhD in Bioengineering – University of California–San Diego, Associate Professor, School of Applied Physiology
Burns, Susan Elizabeth, DSC in Civil Engineering – Georgia Institute of Technology, Professor, School of Civil and Environmental Engineering
Butera, Robert J., PhD in Electrical Engineering – Rice University, Professor, School of Electrical and Computer Engineering
Capolungo, Laurent, PhD in Mechanical Engineering – Georgia Institute of Technology, Assistant Professor, Woodruff School of Mechanical Engineering
Carr, Wallace W., PhD in Textile Sciences and Engineering – Georgia Institute of Technology, Professor, School of Materials Science and Engineering
Carter, William Brent, PhD in Physics – Georgia Institute of Technology, Associate Professor, School of Materials Science and Engineering
Castro–Lacouture, Daniel, PhD in Civil Engineering – Purdue University, Interim Chair, School of Building Construction
Champion, Julie, PhD in Chemical Engineering – University of California–Santa Barbara, Assistant Professor, School of Chemical and Biomolecular Engineering
Chang, Gee–Kung, PhD in Physics – University of California–Riverside, Professor, School of Electrical and Computer Engineering
Chatterjee, Abhijit, PhD in Electrical Engineering – University of Illinois–Urbana Champaign, Professor, School of Electrical and Computer Engineering
Chen, Ruizhen Rachel, PhD in Chemical Engineering – California Institute of Technology, Associate Professor, School of Chemical and Biomolecular Engineering
Chen, Ye–Hwa, PhD in Mechanical Engineering – University of California–Berkeley, Professor, Woodruff School of Mechanical Engineering
Cherkaoui, Mohammed, PhD in Mechanical Engineering – University of Metz, Professor, Woodruff School of Mechanical Engineering
Cho, Sang Hyun, PhD in Nuclear Engineering – Texas A&M University, Associate Professor, Woodruff School of Mechanical Engineering
Choi, Seung–Kyum, PhD in Mechanical Engineering – Wright State University, Assistant Professor, Georgia Tech Savannah
Chow, Edmond T., Phd in Computer Science – University of Minnesota, Associate Professor, School of Computational Science and Engineering
Christensen, Henrik Iskov, PhD in Electrical Engineering – Aalborg University, Professor, School of Interactive Computing
Citrin, David S., PhD in Physics – University of Illinois–Urbana Champaign, Professor, School of Electrical and Computer Engineering
Clarke, John–Paul B., DSC in Aerospace Engineering – Massachusetts Institute of Technology, Associate Professor, Guggenheim School of Aerospace Engineering
Clements, Mark A., PhD in Electrical Engineering – Massachusetts Institute of Technology, Professor, School of Electrical and Computer Engineering
Cola, Baratunde, PhD in Mechanical Engineering – Vanderbilt University, Assistant Professor, Woodruff School of Mechanical Engineering
Colton, Jonathan S., PhD in Mechanical Engineering – Massachusetts Institute of Technology, Professor, Woodruff School of Mechanical Engineering
Conte, Thomas Martin, PhD in Electrical Engineering – University of Illinois–Urbana Champaign, Professor, School of Computer Science
Cook, Fred L., PhD in Textile Sciences and Engineering – Georgia Institute of Technology, Professor, School of Materials Science and Engineering
Cook, William J., PhD in Applied Mathematics – University of Waterloo, Professor, Stewart School of Industrial and Systems Engineering
Copeland, John A., PhD in Physics – Georgia Institute of Technology, Professor, School of Electrical and Computer Engineering
Costello, Mark Francis, PhD in Aerospace Engineering – Georgia Institute of Technology, Associate Professor, Guggenheim School of Aerospace Engineering
Coyle, Edward J., PhD in Electrical Engineering – Princeton University, Professor, School of Electrical and Computer Engineering
Cressler, John D., PhD in Applied Physics – Columbia University, Professor, School of Electrical and Computer Engineering
Crittenden, John, PhD in Environmental Engineering – University of Michigan–Ann Arbor, Professor, School of Civil and Environmental Engineering
Cunefare, Kenneth A., PhD in Mechanical Engineering – Pennsylvania State University, Professor, Woodruff School of Mechanical Engineering
Dai, Jiangang, PhD in Mathematics – Stanford University, Professor, Stewart School of Industrial and Systems Engineering
Danyluk, Steven, PhD in Engineering Science – Cornell University, Professor, Woodruff School of Mechanical Engineering
Das, Suman, PhD in Mechanical Engineering – University of Texas–Austin, Associate Professor, Woodruff School of Mechanical Engineering
Davis, Jeffrey A., PhD in Electrical Engineering – Georgia Institute of Technology, Associate Professor, School of Electrical and Computer Engineering
Dawson, Michelle R., PhD in Chemical Engineering – Johns Hopkins University, Assistant Professor, School of Chemical and Biomolecular Engineering
Declercq, Nico Felicien, PhD in Engineering Physics – Ghent University, Assistant Professor, Woodruff School of Mechanical Engineering
Degertekin, F Levent, PhD in Electrical Engineering – Stanford University, Professor, Woodruff School of Mechanical Engineering
Deng, Shijie, PhD in Industrial/Manufacturing Engineering – University of California–Berkeley, Associate Professor, Stewart School of Industrial and Systems Engineering
Deng, Yulin, PhD in Chemistry – University of Manchester Institute of Science/Technology, Professor, School of Chemical and Biomolecular Engineering
Deo, Chaitanya Suresh, PhD in Materials Science – University of Michigan–Ann Arbor, Assistant Professor, Woodruff School of Mechanical Engineering
Desroches, Reginald, PhD in Civil Engineering – University of California–Berkeley, Associate Chair, School of Civil and Environmental Engineering
DeWeerth, Stephen P., PhD in Electrical Engineering – California Institute of Technology, Professor, School of Electrical and Computer Engineering
DiChristina, Thomas J., PhD in Environmental Engineering – California Institute of Technology, Professor, School of Biology
Dieker, Antonius B., PhD in Mathematics – University of Amsterdam, Assistant Professor, Stewart School of Industrial and Systems Engineering
Divan, Deepakraj M., PhD in Electrical Engineering – University of Calgary, Professor, School of Electrical and Computer Engineering
Dixon, James Brandon, PhD in Mechanical Engineering – Texas A&M University, Assistant Professor, Woodruff School of Mechanical Engineering
Doolittle, William A., PhD in Electrical Engineering – Georgia Institute of Technology, Associate Professor, School of Electrical and Computer Engineering
Dovrolis, Konstantinos, PhD in Computer Engineering – University of Wisconsin–Madison, Associate Professor, School of Computer Science
Doyoyo, Mulalo, PhD in Engineering – Brown University, Assistant Professor, School of Civil and Environmental Engineering
Dupuis, Russell Dean, PhD in Electrical Engineering – University of Illinois–Urbana Champaign, Professor, School of Electrical and Computer Engineering
Durgin, Gregory David, PhD in Electrical Engineering – Virginia Polytechnic Institute, Associate Professor, School of Electrical and Computer Engineering
Eastman, Charles, MA in Architectural Engineering Technology – University of California–Berkeley, Professor, School of Architecture
Eckert, Charles A., PhD in Chemical Engineering – University of California–Berkeley, Professor, School of Chemical and Biomolecular Engineering
Egerstedt, Magnus, PhD in Mathematics – Royal Veterinary College of Sweden, Professor, School of Electrical and Computer Engineering
Ellingwood, Bruce R., PhD in Civil Engineering – University of Illinois–Urbana Champaign, Professor, School of Civil and Environmental Engineering
Emkin, Leroy Z., PhD in Civil Engineering – Massachusetts Institute of Technology, Professor, School of Civil and Environmental Engineering
Erera, Alan L., PhD in Industrial/Manufacturing Engineering – University of California–Berkeley, Associate Professor, Stewart School of Industrial and Systems Engineering
Ergun, Ozlem, PhD in Operations Research – Massachusetts Institute of Technology, Associate Professor, Stewart School of Industrial and Systems Engineering
Esogbue, Augustine O., PhD in Engineering – University of Southern California, Professor, Stewart School of Industrial and Systems Engineering
Fedele, Francesco G., PhD in Civil Engineering – University of Vermont, Assistant Professor, School of Civil and Environmental Engineering
Fedorov, Andrei G., PhD in Mechanical Engineering – Purdue University, Professor, Woodruff School of Mechanical Engineering
Feigh, Karen M., PhD in Systems Engineering – Georgia Institute of Technology, Assistant Professor, Guggenheim School of Aerospace Engineering
Fekri, Faramarz, PhD in Electrical Engineering – Georgia Institute of Technology, Professor, School of Electrical and Computer Engineering
Ferguson, Ian T., PhD in Physics – University of St. Andrews, Scotland, Adjunct Professor, School of Electrical and Computer Engineering
Feron, Eric Marie J., PhD in Aerospace Engineering – Stanford University, Professor, Guggenheim School of Aerospace Engineering
Ferri, Aldo A., PhD in Mechanical Engineering – Princeton University, Associate Chair, Woodruff School of Mechanical Engineering
Ferri, Bonnie Heck, PhD in Electrical Engineering – Georgia Institute of Technology, Associate Chair, School of Electrical and Computer Engineering
Filler, Michael Aaron, PhD in Chemical Engineering – Stanford University, Assistant Professor, School of Chemical and Biomolecular Engineering
Foley, James D., PhD in Computer Engineering – University of Michigan–Ann Arbor, Dean, College of Computing
Foley, Robert D., PhD in Operations Research – University of Michigan–Ann Arbor, Professor, Stewart School of Industrial and Systems Engineering
Forest, Craig R., PhD in Mechanical Engineering – Massachusetts Institute of Technology, Assistant Professor, Woodruff School of Mechanical Engineering
Frazier, Albert B., PhD in Electrical Engineering – Georgia Institute of Technology, Professor, School of Electrical and Computer Engineering
Fritz, Hermann Marc, PhD in Civil Engineering – Swiss Federal Institute of Technology, Associate Professor, Georgia Tech Savannah
Frost, James David, PhD in Civil Engineering – Purdue University, Director, Georgia Tech Savannah
Fujimoto, Richard M., PhD in Computer Information Science and Electrical Engineering – University of California–, Berkeley Chair, School of Computational Science and Engineering
Fuller, Thomas, PhD in Chemical Engineering – University of California–Berkeley, Professor – Chemical and Biomolecular Engineering
Gall, Kenneth A., PhD in Mechanical Engineering – University of Illinois–Urbana Champaign, Professor, School of Materials Science and Engineering
Garcia, Andres J., PhD in Bioengineering and Biomedical Engineering – University of Pennsylvania, Professor, Woodruff School of Mechanical Engineering
Garimella, Srinivas, PhD in Nuclear Engineering – The Ohio State University, Professor, Woodruff School of Mechanical Engineering
Garmestani, Hamid, PhD in Theoretical and Applied Mechanics – Cornell University, Professor, School of Materials Science and Engineering
Garrow, Laurie Anne, PhD in Transportation and Highway Engineering – Northwestern University, Associate Professor, School of Civil and Environmental Engineering
Gaylord, Thomas K., PhD in Electrical Engineering – Rice University, Regents' Professor, School of Electrical and Computer Engineering
Gebraeel, Nagi Z., PhD in Industrial Engineering – Purdue University, Associate Professor, Stewart School of Industrial and Systems Engineering
Gentry, T Russell, PhD in Civil Engineering – University of Michigan–Ann Arbor, Associate Professor, School of Architecture
Genzale, Caroline, PhD in Mechanical Engineering – University of Wisconsin–Madison, Assistant Professor, Woodruff School of Mechanical Engineering
Georgakakos, Aris P., PhD in Civil Engineering – Massachusetts Institute of Technology, Associate Chair, School of Civil and Environmental Engineering
Gerhardt, Rosario A., PhD in Metallurgy and Materials Science – Columbia University, Professor, School of Materials Science and Engineering
German, Brian J., PhD in Aerospace Engineering – Georgia Institute of Technology, Assistant Professor, Guggenheim School of Aerospace Engineering
Germanovich, Leonid, PhD in Engineering Science – Moscow State Mining University, Professor, School of Civil and Environmental Engineering
Ghiaasiaan, Seyed M., PhD in Mechanical Engineering – University of California–Los Angeles, Professor, Woodruff School of Mechanical Engineering
Ghovanloo, Maysam, PhD in Electrical Engineering – University of Michigan–Ann Arbor, Assistant Professor, School of Electrical and Computer Engineering
Giddens, Don P., PhD in Aerospace Engineering – Georgia Institute of Technology, Dean, College of Engineering
Gleason, Rudolph Lawson, PhD in Biomedical Engineering – Texas A&M University, Assistant Professor, Woodruff School of Mechanical Engineering
Glezer, Ari, PhD in Aeronautical and Aerospace Engineering – California Institute of Technology, Professor, Woodruff School of Mechanical Engineering
Glytsis, Elias, PhD in Electrical Engineering – Georgia Institute of Technology, Professor, School of Electrical and Computer Engineering
Goetschalckx, Marc, PhD in Industrial Engineering – Georgia Institute of Technology, Associate Professor, Stewart School of Industrial and Systems Engineering
Gokhale, Arun M., PhD in Materials Engineering – University of Florida, Professor, School of Materials Science and Engineering
Goldsman, David, PhD in Operations Research – Cornell College, Professor, Stewart School of Industrial and Systems Engineering
Goodno, Barry, PhD in Civil Engineering – Stanford University, Professor, School of Civil and Environmental Engineering
Graham, Samuel, PhD in Mechanical Engineering – Georgia Institute of Technology, Associate Professor, Woodruff School of Mechanical Engineering
Gray, Alexander G., PhD in Computer Science – Carnegie Mellon University, Assistant Professor, School of Computational Science and Engineering
Green, Itzhak, DSC in Mechanical Engineering – Technion Israel Institute of Technology, Professor, Woodruff School of Mechanical Engineering
Griffin, Anselm C., PhD in Chemistry – University of Texas–Austin, Chair, School of Materials Science and Engineering
Grijalva, Carlos S., PhD in Electrical Engineering – University of Illinois–Urbana–Champaign, Associate Professor, School of Electrical and Computer Engineering
Grover, Martha A., PhD in Mechanical Engineering – California Institute of Technology, Associate Professor, School of Chemical and Biomolecular Engineering
Guensler, Randall L., PhD in Civil Engineering – University of California–Davis, Professor, School of Civil and Environmental Engineering
Guldberg, Robert E., PhD in Mechanical Engineering – University of Michigan–Ann Arbor, Professor, Woodruff School of Mechanical Engineering
Guzdial, Mark, Arbor, PhD in Education and Computer Science and Engineering – University of Michigan–Ann, Professor, School of Interactive Computing
Haas, Kevin A., PhD in Civil Engineering – University of Delaware, Associate Professor, Georgia Tech Savannah
Habetler, Thomas G., PhD in Electrical Engineering – University of Wisconsin–Madison, Professor, School of Electrical and Computer Engineering
Hackman, Steven T., PhD in Industrial/Manufacturing Engineering – University of California–Berkeley, Associate Professor, Stewart School of Industrial and Systems Engineering
Haddad, Wassim M., PhD in Mechanical Engineering – Florida Institute of Technolog, Professor, Guggenheim School of Aerospace Engineering
Hamblen, James O., PhD in Electrical Engineering – Georgia Institute of Technology, Professor, School of Electrical and Computer Engineering
Hanagud, Sathyanaraya, PhD in Aeronautical and Aerospace Engineering –Stanford University, Professor, Guggenheim School of Aerospace Engineering
Harley, Ronald Gordon, PhD in Electrical Engineering – University of London, Professor, School of Electrical and Computer Engineering
Harris, Tequila A. L.., PhD in Mechanical Engineering – Rensselaer Polytechnic Institute, Assistant Professor, Woodruff School of Mechanical Engineering
Hasler, Paul E., PhD in Electrical Engineering – California Institute of Technology, Associate Professor, School of Electrical and Computer Engineering
Hayes, Monson H., PhD in Electrical Engineering – Massachusetts Institute of Technology, Associate Chair, School of Electrical and Computer Engineering
Henderson, Clifford L., PhD in Chemical Engineering – University of Texas–Austin, Associate Professor, School of Chemical and Biomolecular Engineering
Hertel, Nolan E., PhD in Nuclear Engineering – University of Illinois–Urbana Champaign, Professor, Woodruff School of Mechanical Engineering
Hesketh, Peter J., PhD in Electrical Engineering – University of Pennsylvania, Professor, Woodruff School of Mechanical Engineering
Hess, Dennis W., PhD in Chemistry – Lehigh University, Professor, School of Chemical and Biomolecular Engineering
Hodges, Dewey H., PhD in Aerospace Engineering – Stanford University, Professor, Guggenheim School of Aerospace Engineering
Hong, Bo, PhD in Computer Engineering – University of Southern California, Assistant Professor, School of Electrical and Computer Engineering
Howard, Ayanna MacCalla, PhD in Electrical Engineering – University of Southern California, Associate Professor, School of Electrical and Computer Engineering
Hsieh, Jeffery S., PhD in Chemical Engineering – Syracuse University, Professor, School of Chemical and Biomolecular Engineering
Hu, David L., PhD in Mathematics – Massachusetts Institute of Technology, Assistant Professor, Woodruff School of Mechanical Engineering
Huang, Ching–Hua, PhD in Chemistry – Johns Hopkins University, Associate Professor, School of Civil and Environmental Engineering
Huang, Haiying, PhD in Geological Engineering – University of Minnesota–Twin Cities, Assistant Professor, School of Civil and Environmental Engineering
Hud, Nicholas V., PhD in Engineering Physics – University of California–Davis, Professor, School of Chemistry and Biochemistry
Hughes, Joseph Blake, PhD in Civil Engineering – University of Iowa, Chair, School of Civil and Environmental Engineering
Hughes, Joseph L A., PhD in Electrical Engineering – Stanford University, Associate Chair, School of Electrical and Computer Engineering
Hunt, William D., PhD in Electrical Engineering – University of Illinois–Urbana Champaign, Professor, School of Electrical and Computer Engineering
Hunter, Michael P., PhD in Civil Engineering – University of Texas–Austin, Associate Professor, School of Civil and Environmental Engineering
Huo, Xiaoming, PhD in Mathematical Statistics – Stanford University, Associate Professor, Stewart School of Industrial and Systems Engineering
Ingram, Mary Ann, PhD in Electrical Engineering – Georgia Institute of Technology, Professor, School of Electrical and Computer Engineering
Irizarry, Javier, PhD in Civil Engineering – Purdue University, Assistant Professor, School of Building Construction
Isbell, Charles Lee, PhD in Electrical Engineering and Computer Science – Massachusetts Institute of, Technology Associate Dean, School of Interactive Computing
Jacob, Karl I., PhD in Engineering Mechanics – The Ohio State University, Professor, School of Materials Science and Engineering
Jacobs, Laurence J., PhD in Engineering Mechanics – Columbia University, Associate Dean, College of Engineering
Jagoda, Jechiel, PhD in Physics, Other – Imperial College Science and Technology, Associate Chair, Guggenheim School of Aerospace Engineering
Jang, Seung Soon, PhD in Materials Science and Engineering – Seoul National University, Assistant Professor, School of Materials Science and Engineering
Jayant, Nikil S., PhD in Electrical Engineering – Stanford University, Professor, School of Electrical and Computer Engineering
Jayaraman, Sundaresan, PhD in Textile Engineering – North Carolina State University, Professor, School of Materials Science and Engineering
Jeter, Sheldon M., PhD in Mechanical Engineering – Georgia Institute of Technology, Associate Professor, Woodruff School of Mechanical Engineering
Ji, Chuanyi, PhD in Electrical Engineering – California Institute of Technology, Associate Professor, School of Electrical and Computer Engineering
Jiao, Jianxin, PhD in Industrial Engineering – Hong Kong University of Science and Technology, Associate Professor, Woodruff School of Mechanical Engineering
Johnson, Ellis L., PhD in Operations Research – University of California–Berkeley, Professor, Stewart School of Industrial and Systems Engineering
Johnson, Eric N., PhD in Aerospace Engineering – Georgia Institute of Technology, Associate Professor, Guggenheim School of Aerospace Engineering
Johnson, William Steven, PhD in Solids and Structural Mechanics – Duke University, Professor, School of Materials Science and Engineering
Jones, Christopher W., PhD in Chemical Engineering – California Institute of Technology, Professor, School of Chemical and Biomolecular Engineering
Joshi, Yogendra K., PhD in Mechanical Engineering – University of Pennsylvania, Professor, Woodruff School of Mechanical Engineering
Juang, Biing Hwang, PhD in Electrical Engineering – University of California–Santa Cruz, Professor, School of Electrical and Computer Engineering
Kahn, Lawrence F., PhD in Civil Engineering – University of Michigan–Ann Arbor, Professor, School of Civil and Environmental Engineering
Kalaitzidou, Kyriaki, PhD in Chemical Engineering and Materials Science – Michigan State University, Assistant Professor, Woodruff School of Mechanical Engineering
Kangari, Roozbeh, PhD in Civil Engineering – University of Illinois–Urbana Champaign, Professor, School of Building Construction
Kardomateas, George, PhD in Mechanical Engineering – Massachusetts Institute of Technology, Professor, Guggenheim School of Aerospace Engineering
Kawajiri, Yoshiaki, PhD in Chemical Engineering – Carnegie Mellon University, Assistant Professor, School of Chemical and Biomolecular Engineering
Keezer, David C., PhD in Electrical Engineering – Carnegie Mellon University, Professor, School of Electrical and Computer Engineering
Kemp, Charles C., PhD in Electrical Engineering – Massachusetts Institute of Technology, Assistant Professor, Coulter Department of Biomedical Engineering (Tech/Emory)
Kemp, Melissa Lambeth, PhD in Bioengineering and Biomedical Engineering – University of Washington, Assistant Professor, Coulter Department of Biomedical Engineering (Tech/Emory)
Kenney, James Stevenson, PhD in Electrical Engineering – Georgia Institute of Technology, Associate Professor, School of Electrical and Computer Engineering
Keskinocak, Pinar, PhD in Operations Research – Carnegie Mellon University, Professor, Stewart School of Industrial and Systems Engineering
Kessler, William C., DSC in Chemical Engineering – Washington University, Professor of the Practice, Stewart School of Industrial and Systems Engineering
Kim, Jaehong, PhD in Environmental Engineering – University of Illinois–Urbana Champaign, Associate Professor, School of Civil and Environmental Engineering
Kim, Jongman, PhD in Computer Science – Pennsylvania State University, Assistant Professor, School of Electrical and Computer Engineering
Kim, Seong–Hee, PhD in Industrial Engineering – Northwestern University, Associate Professor, Stewart School of Industrial and Systems Engineering
Kippelen, Bernard, PhD in Physics – University Louis Pasteur, Professor, School of Electrical and Computer Engineering
Klein, Benjamin D.B., PhD in Electrical Engineering – University of Illinois–Urbana Champaign, Associate Professor, Georgia Tech Savannah
Kleywegt, Anton J., PhD in Industrial/Manufacturing Engineering – Purdue University, Associate Professor, Stewart School of Industrial and Systems Engineering
Koblasz, Arthur, PhD in Information Sciences – California Institute of Technology, Associate Professor, School of Electrical and Computer Engineering
Kohl, Paul A., PhD in Analytical Chemistry – University of Texas–Austin, Regents' Professor, School of Chemical and Biomolecular Engineering
Komerath, Narayanan M., PhD in Aerospace Engineering – Georgia Institute of Technology, Professor, Guggenheim School of Aerospace Engineering
Konstantinidis, Konstantinos T., PhD in Microbial Genetics – Michigan State University, Assistant Professor, School of Civil and Environmental Engineering
Kornegay, Kevin T., PhD in Electrical Engineering – University of California–Berkeley, Associate Professor, School of Electrical and Computer Engineering
Koros, William J., PhD in Chemical Engineering – University of Texas–Austin, Professor, School of Chemical and Biomolecular Engineering
Ku, David N., PhD in Aerospace Engineering – Georgia Institute of Technology, Regents' Professor, Woodruff School of Mechanical Engineering
Kumar, Satish, PhD in Mechanical Engineering – Purdue University, Assistant Professor, Woodruff School of Mechanical Engineering
Kumar, Satish, PhD in Textile Sciences and Engineering – Indian Institute of Technology–Delhi, Professor, School of Materials Science and Engineering
Kurtis, Kimberly E., PhD in Civil Engineering – University of California–Berkeley, Professor, School of Civil and Environmental Engineering
Kvam, Paul H., PhD in Mathematical Statistics – University of California–Davis, Professor, Stewart School of Industrial and Systems Engineering
Lanterman, Aaron D., PhD in Electrical Engineering – Washington University, Associate Professor, School of Electrical and Computer Engineering
LaPlaca, Michelle C., PhD in Bioengineering and Biomedical Engineering – University of Pennsylvania, Associate Professor, Coulter Department of Biomedical Engineering (Tech/Emory)
Laval, Jorge A., PhD in Transportation and Highway Engineering – University of California–Berkeley, Assistant Professor, School of Civil and Environmental Engineering
Le Doux, Joseph M., PhD in Chemical Engineering – Rutgers, The State University of New Jersey–Newark, Associate Professor, Coulter Department of Biomedical Engineering (Tech/Emory)
